user_id,temperature,rain_chance,wind_speed,top_id,top_name,bottom_id,bottom_name,score,top_type,top_color,top_material,top_size,top_season,top_style,top_favorite,top_special_property,bottom_type,bottom_color,bottom_material,bottom_size,bottom_season,bottom_style,bottom_favorite,bottom_special_property
15,15.0,30.0,10.0,196,Sweter,197,Szorty,2.14,Sweter,Niebieski,Poliester,XL,Wiosna/Jesień,Wieczorowy,1,Oddychające,Szorty,Czerwony,Wełna,XL,Wiosna/Jesień,Sportowy,1,Niwelujące otarcia
20,15.0,30.0,10.0,272,Kurtka,278,Spódnica,2.1,Kurtka,Zielony,Bawełna,XXL,Zima,Wieczorowy,0,Oddychające,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,15.0,30.0,10.0,270,Marynarka,279,Spódnica,1.8,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Spódnica,Beżowy,Jeans,L,Całoroczne,Codzienny,0,Oddychające
20,15.0,30.0,10.0,270,Marynarka,280,Szorty,1.8,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Szorty,Beżowy,Skóra,L,Zima,Codzienny,0,Przeciwwiatrowe
20,15.0,30.0,10.0,270,Marynarka,278,Spódnica,1.68,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,15.0,30.0,10.0,274,T-shirt,278,Spódnica,1.68,T-shirt,Czerwony,Poliester,M,Lato,Codzienny,0,Brak,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,20.0,40.0,10.0,272,Kurtka,278,Spódnica,2.7,Kurtka,Zielony,Bawełna,XXL,Zima,Wieczorowy,0,Oddychające,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,20.0,40.0,10.0,270,Marynarka,278,Spódnica,2.28,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,20.0,40.0,10.0,274,T-shirt,278,Spódnica,2.28,T-shirt,Czerwony,Poliester,M,Lato,Codzienny,0,Brak,Spódnica,Zielony,Skóra,L,Lato,Codzienny,1,Szybkoschnące
20,20.0,40.0,10.0,270,Marynarka,279,Spódnica,1.8,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Spódnica,Beżowy,Jeans,L,Całoroczne,Codzienny,0,Oddychające
20,20.0,40.0,10.0,270,Marynarka,280,Szorty,1.8,Marynarka,Beżowy,Bawełna,M,Zima,Wieczorowy,0,Oddychające,Szorty,Beżowy,Skóra,L,Zima,Codzienny,0,Przeciwwiatrowe
25,10.0,60.0,10.0,345,Płaszcz,351,Spódnica,3.48,Płaszcz,Niebieski,Len,XXL,Zima,Sportowy,0,Oddychające,Spódnica,Biały,Skóra,L,Lato,Formalny,0,Przeciwdeszczowe
25,10.0,60.0,10.0,345,Płaszcz,359,Spódnica,3.48,Płaszcz,Niebieski,Len,XXL,Zima,Sportowy,0,Oddychające,Spódnica,Zielony,Skóra,XXL,Zima,Wieczorowy,0,Przeciwdeszczowe
25,10.0,60.0,10.0,347,Marynarka,351,Spódnica,3.45,Marynarka,Czarny,Poliester,XL,Lato,Codzienny,0,Przeciwdeszczowe,Spódnica,Biały,Skóra,L,Lato,Formalny,0,Przeciwdeszczowe
25,10.0,60.0,10.0,345,Płaszcz,352,Spodnie,3.26,Płaszcz,Niebieski,Len,XXL,Zima,Sportowy,0,Oddychające,Spodnie,Biały,Bawełna,XS,Wiosna/Jesień,Codzienny,1,Przeciwdeszczowe
25,10.0,60.0,10.0,347,Marynarka,352,Spodnie,3.23,Marynarka,Czarny,Poliester,XL,Lato,Codzienny,0,Przeciwdeszczowe,Spodnie,Biały,Bawełna,XS,Wiosna/Jesień,Codzienny,1,Przeciwdeszczowe
25,25.0,20.0,10.0,349,Sweter,357,Spodnie,3.0,Sweter,Biały,Len,M,Całoroczne,Codzienny,1,Niekrępujące ruchu,Spodnie,Biały,Skóra,L,Lato,Wieczorowy,0,Oddychające
25,25.0,20.0,10.0,349,Sweter,351,Spódnica,2.4,Sweter,Biały,Len,M,Całoroczne,Codzienny,1,Niekrępujące ruchu,Spódnica,Biały,Skóra,L,Lato,Formalny,0,Przeciwdeszczowe
25,25.0,20.0,10.0,346,Marynarka,357,Spodnie,2.28,Marynarka,Szary,Poliester,XXL,Całoroczne,Codzienny,0,Niekrępujące ruchu,Spodnie,Biały,Skóra,L,Lato,Wieczorowy,0,Oddychające
25,25.0,20.0,10.0,349,Sweter,356,Spodnie,2.28,Sweter,Biały,Len,M,Całoroczne,Codzienny,1,Niekrępujące ruchu,Spodnie,Zielony,Bawełna,M,Lato,Codzienny,1,Przeciwwiatrowe
25,25.0,20.0,10.0,347,Marynarka,357,Spodnie,2.25,Marynarka,Czarny,Poliester,XL,Lato,Codzienny,0,Przeciwdeszczowe,Spodnie,Biały,Skóra,L,Lato,Wieczorowy,0,Oddychające
30,18.0,20.0,10.0,411,Bluza,414,Szorty,1.58,Bluza,Czerwony,Poliester,XS,Całoroczne,Formalny,0,Oddychające,Szorty,Czerwony,Len,XS,Wiosna/Jesień,Codzienny,0,Niekrępujące ruchu
30,18.0,20.0,10.0,409,Płaszcz,418,Spódnica,1.2,Płaszcz,Zielony,Len,S,Całoroczne,Wieczorowy,0,Oddychające,Spódnica,Zielony,Len,XXL,Zima,Formalny,0,Brak
30,18.0,20.0,10.0,424,Bluza,415,Spodnie,1.2,Bluza,Beżowy,Len,L,Lato,Codzienny,0,Oddychające,Spodnie,Beżowy,Jeans,S,Zima,Wieczorowy,0,Szybkoschnące
30,18.0,20.0,10.0,424,Bluza,416,Szorty,1.2,Bluza,Beżowy,Len,L,Lato,Codzienny,0,Oddychające,Szorty,Beżowy,Wełna,XL,Całoroczne,Sportowy,0,Brak
30,18.0,20.0,10.0,409,Płaszcz,414,Szorty,1.16,Płaszcz,Zielony,Len,S,Całoroczne,Wieczorowy,0,Oddychające,Szorty,Czerwony,Len,XS,Wiosna/Jesień,Codzienny,0,Niekrępujące ruchu
