user_id,temperature,rain_chance,wind_speed,season,top_id,top_name,bottom_id,bottom_name,score
50,5.0,30.0,10.0,Zima,712,Bluza,720,Szorty,3.38
50,5.0,30.0,10.0,Zima,715,Płaszcz,720,Szorty,3.38
50,5.0,30.0,10.0,Zima,726,T-shirt,718,Szorty,3.3
50,5.0,0.0,10.0,Zima,722,T-shirt,718,Szorty,2.4
50,5.0,0.0,10.0,Zima,724,T-shirt,718,Szorty,2.36
50,5.0,0.0,10.0,Zima,712,Bluza,718,Szorty,2.25
50,5.0,0.0,10.0,Zima,715,Płaszcz,718,Szorty,2.25
50,5.0,0.0,10.0,Zima,712,Bluza,720,Szorty,2.18
50,5.0,0.0,10.0,Całoroczne,722,T-shirt,718,Szorty,2.4
50,5.0,0.0,10.0,Całoroczne,724,T-shirt,718,Szorty,2.28
50,5.0,0.0,10.0,Całoroczne,712,Bluza,718,Szorty,2.25
50,5.0,0.0,10.0,Całoroczne,715,Płaszcz,718,Szorty,2.25
50,5.0,0.0,10.0,Całoroczne,726,T-shirt,718,Szorty,2.18
50,5.0,0.0,10.0,Lato,722,T-shirt,718,Szorty,2.4
50,5.0,0.0,10.0,Lato,724,T-shirt,718,Szorty,2.28
50,5.0,0.0,10.0,Lato,712,Bluza,718,Szorty,2.25
50,5.0,0.0,10.0,Lato,715,Płaszcz,718,Szorty,2.25
50,5.0,0.0,10.0,Lato,725,T-shirt,719,Spódnica,2.18
